,subject,color,gi,mi,status,bp,wp,response,rt
970,5.0,0,0,4,playing,000000000001100000000000000000000000,000010000000010000000000000000000000,22,1.22
1014,5.0,0,2,4,playing,000000000000110000000000000000000000,000000000000001000000001000000000000,5,2.155
1054,5.0,1,5,5,playing,000000000000100000000101000000000000,000100000000010000000000000000000000,22,6.399
933,5.0,1,0,7,playing,100001000000000000000100000000100000,000000000000110000000000000001000000,11,12.645
1199,5.0,0,2,4,playing,000000000000110000000000000000000000,000000000000001000000001000000000000,5,2.155
1103,5.0,1,7,13,playing,001000000001000100000011100001000000,000011000000011000000100010000000000,20,4.131
1095,5.0,1,7,5,playing,000000000001000100000010000000000000,000000000000011000000000000000000000,5,7.303
1016,5.0,0,2,6,playing,000001000000110000000000000000000000,000000000010001000000001000000000000,4,10.372
1068,5.0,1,5,19,playing,001001100000100010000101000000010110,010110010000011000010010000000100000,32,4.738
1038,5.0,0,4,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,11,5.857
1009,5.0,1,1,31,playing,100101001011101000011101000001010110,011010010100010110100010110100101000,35,2.876
1003,5.0,1,1,25,playing,100100001011101000010101000001010100,010010000100010110100010100100101000,25,22.876
997,5.0,1,1,19,playing,000100000011101000010101000000010100,010010000100010100000010100000101000,27,1.507
1120,5.0,1,0,9,win,100001000010000000000100000000100000,000000000001110000000000000001000000,14,1.133
1136,5.0,1,0,15,win,001000010000111000000000000010001001,000011100001000100000010000000100000,3,1.814
1194,5.0,1,1,31,playing,100101001011101000011101000001010110,011010010100010110100010110100101000,35,2.876
1294,5.0,1,7,19,playing,001000100001000100000011100001011000,000011010000011000001100010000000100,30,6.85
1007,5.0,1,1,29,playing,100101001011101000011101000001010100,011010000100010110100010110100101000,7,22.598
1205,5.0,0,2,10,win,000011100000110000000000000000000000,000000010010001000000001000000010000,3,2.178
961,5.0,1,0,9,playing,000110000000010000000101000000000000,000001100000000000000010000000000100,12,35.906
1270,5.0,0,6,2,playing,000000000000000000000010000000000000,000000000000100000000000000000000000,21,8.053
1034,5.0,1,3,13,playing,000001100000110000000100100000100000,000000000000001000000011000001001100,3,9.307
1107,5.0,1,7,17,playing,001000100001000100000011100001010000,000011010000011000001100010000000000,33,2.602
1247,5.0,1,5,13,playing,001001000000100010000101000000010000,010110000000011000000010000000000000,30,7.569
957,5.0,1,0,5,playing,000000000000010000000101000000000000,000001000000000000000010000000000000,6,37.682
1126,5.0,1,0,5,playing,000000000000101000000000000010000000,000000000001000000000000000000100000,4,49.629
1261,5.0,1,5,27,playing,001001100011100010000101101000010110,010110010000011100010010010100101000,9,1.566
1290,5.0,1,7,15,playing,001000000001000100000011100001010000,000011000000011000001100010000000000,7,9.36
985,5.0,1,1,7,playing,000000000011101000000000000000000000,000000000000010100000000100000000000,9,2.12
1164,5.0,1,1,1,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,24,9.816
1235,5.0,1,5,1,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,13,4.974
935,5.0,1,0,9,win,100001000010000000000100000000100000,000000000001110000000000000001000000,14,1.133
983,5.0,1,1,5,playing,000000000001101000000000000000000000,000000000000000100000000100000000000,13,8.224
1192,5.0,1,1,29,playing,100101001011101000011101000001010100,011010000100010110100010110100101000,7,22.598
